Name,Price,Tenure,Category,Area,Furnish,Bedrooms,Bathrooms,Date,Facilities
"Midfields, Sungai Besi","For Sale: RM 510,000",Freehold,Condominium,"1,074 SQ. FT",Semi Furnished,3  Bedrooms,2  Bathrooms,Last Updated at 13-May-2021,8
"Taman Desa Petaling, Desa Petaling","For Sale: RM 429,000",Freehold,Condominium,"1,140 SQ. FT",Fully Furnished,3  Bedrooms,3  Bathrooms,Last Updated at 13-May-2021,0
"You City, Batu 9 Cheras","For Sale: RM 699,000",Freehold,Condominium,"1,460 SQ. FT",Fully Furnished,4  Bedrooms,3  Bathrooms,Last Updated at 13-May-2021,18
"d'Brightton, Setapak","For Sale: RM 1,490,000",Leasehold,Condominium,"2,927 SQ. FT",Unfurnished,4 + 1 Bedrooms,5  Bathrooms,Last Updated at 13-May-2021,58
"Platinum Lake PV10, Setapak","For Sale: RM 450,000",Freehold,Condominium,"1,272 SQ. FT",Fully Furnished,4  Bedrooms,2  Bathrooms,Last Updated at 13-May-2021,14
"Idaman Puteri, Setapak","For Sale: RM 750,000",Freehold,Condominium,"2,862 SQ. FT",Semi Furnished,6  Bedrooms,5  Bathrooms,Last Updated at 13-May-2021,10
"Idaman Sutera, Setapak","For Sale: RM 228,000",Freehold,Condominium,845 SQ. FT,Unfurnished,3  Bedrooms,2  Bathrooms,Last Updated at 13-May-2021,14
"11 Mont Kiara, Mont Kiara","For Sale: RM 2,850,000",Freehold,Condominium,"3,317 SQ. FT",Semi Furnished,4  Bedrooms,5  Bathrooms,Last Updated at 13-May-2021,20
"Vista Komanwel, Bukit Jalil","For Sale: RM 420,000",Freehold,Condominium,"1,208 SQ. FT",Semi Furnished,3  Bedrooms,2  Bathrooms,Last Updated at 13-May-2021,5
"Star Residences, Kuala Lumpur","For Sale: RM 1,280,000",Freehold,Condominium,721 SQ. FT,Semi Furnished,1 + 1 Bedrooms,1  Bathrooms,Last Updated at 13-May-2021,40
"Segar Courts, Cheras","For Sale: RM 610,000",Leasehold,Condominium,"1,100 SQ. FT",Fully Furnished,2  Bedrooms,2  Bathrooms,Last Updated at 13-May-2021,5
"Arte Mont Kiara, Dutamas","For Sale: RM 880,000",Freehold,Condominium,886 SQ. FT,Semi Furnished,2  Bedrooms,2  Bathrooms,Last Updated at 13-May-2021,16
"Fortune Avenue, Kepong","For Sale: RM 400,000",Freehold,Condominium,"1,174 SQ. FT",Unfurnished,3  Bedrooms,2  Bathrooms,Last Updated at 13-May-2021,14
"Taman Wangsa Melawati, Wangsa Maju","For Sale: RM 468,000",Freehold,Condominium,"1,000 SQ. FT",Unfurnished,3 + 1 Bedrooms,2  Bathrooms,Last Updated at 13-May-2021,1
"Vista Sentul, Sentul","For Sale: RM 466,400",Freehold,Condominium,960 SQ. FT,Unfurnished,3  Bedrooms,2  Bathrooms,Last Updated at 13-May-2021,18
"Tria Residences @ 9 Seputeh, Old Klang Road","For Sale: RM 1,950,200",Freehold,Condominium,"3,272 SQ. FT",Fully Furnished,"

 
          4 + 2 Bedrooms
      ",5 + 1 Bathrooms,Last Updated at 13-May-2021,14
"Taman Pertama, Cheras","For Sale: RM 418,000",Freehold,Condominium,660 SQ. FT,Unfurnished,"

 
          2  Bedrooms
      ",2  Bathrooms,Last Updated at 13-May-2021,5
"Tria Residences @ 9 Seputeh, Old Klang Road","For Sale: RM 981,708",Freehold,Condominium,"1,001 SQ. FT",Fully Furnished,"

 
          3  Bedrooms
      ",2  Bathrooms,Last Updated at 13-May-2021,14
"The Nest 2, Old Klang Road","For Sale: RM 420,000",Freehold,Condominium,800 SQ. FT,Semi Furnished,"

 
          3  Bedrooms
      ",2  Bathrooms,Last Updated at 13-May-2021,0
"Taman Pertama, Cheras","For Sale: RM 420,000",Freehold,Condominium,660 SQ. FT,Unfurnished,"

 
          2  Bedrooms
      ",2  Bathrooms,Last Updated at 13-May-2021,5
"The Como, Bukit Jalil","For Sale: RM 643,500",Freehold,Condominium,990 SQ. FT,Semi Furnished,"

 
          2  Bedrooms
      ",2  Bathrooms,Last Updated at 13-May-2021,16
"The Como, Bukit Jalil","For Sale: RM 625,000",Freehold,Condominium,909 SQ. FT,Semi Furnished,"

 
          2  Bedrooms
      ",2  Bathrooms,Last Updated at 13-May-2021,16
"The Rosewoodz Residences, Bukit Jalil","For Sale: RM 550,000",Freehold,Condominium,771 SQ. FT,Semi Furnished,"

 
          2  Bedrooms
      ",2  Bathrooms,Last Updated at 13-May-2021,0
"216 Residences, Kuchai Lama","For Sale: RM 285,000",Leasehold,Condominium,658 SQ. FT,Semi Furnished,"

 
          2  Bedrooms
      ",2  Bathrooms,Last Updated at 12-May-2021,16
"The Address, Taman Desa","For Sale: RM 670,000",Leasehold,Condominium,"1,118 SQ. FT",Unfurnished,"

 
          4  Bedrooms
      ",2 + 1 Bathrooms,Last Updated at 12-May-2021,8
"The Hermington, Kuchai Lama","For Sale: RM 445,000",Freehold,Condominium,"1,075 SQ. FT",Semi Furnished,"

 
          3 + 1 Bedrooms
      ",3  Bathrooms,Last Updated at 12-May-2021,34
"Tria Residences @ 9 Seputeh, Old Klang Road",For Sale: RM 0,Freehold,Condominium,958 SQ. FT,Semi Furnished,"

 
          2 + 1 Bedrooms
      ",2  Bathrooms,Last Updated at 12-May-2021,14
"Sunway Velocity TWO, Cheras","For Sale: RM 700,000",Freehold,Condominium,883 SQ. FT,Semi Furnished,"

 
          3  Bedrooms
      ",2  Bathrooms,Last Updated at 12-May-2021,6
"Taman Pertama, Cheras","For Sale: RM 518,000",Freehold,Condominium,850 SQ. FT,Unfurnished,"

 
          3  Bedrooms
      ",2  Bathrooms,Last Updated at 12-May-2021,5
"Tria Residences @ 9 Seputeh, Old Klang Road",For Sale: RM 0,Freehold,Condominium,"1,496 SQ. FT",Semi Furnished,"

 
          4 + 1 Bedrooms
      ",3  Bathrooms,Last Updated at 12-May-2021,14
